cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,cd_agencia,vl_renda_mensal,fl_ativo,dt_cadastro
976B6252-DC4,19084263731,Miguel Caldeira,1959-12-28,VAREJO,5506,20724.01,True,2023-04-05
BBAEB98D-57E,72085936474,Ana Laura da Paz,1959-03-13,PJ_MEDIO,2424,47853.66,True,2015-05-03
A0DAE6DC-5E3,21690847387,Sra. Maria Helena Garcia,1958-05-29,PRIME,4811,41170.39,True,2021-04-17
AEF1DF6B-566,50382946189,Lara Ramos,1967-11-03,PJ_MEDIO,7873,18804.59,False,2024-01-29
4B684163-4DF,01645378993,Stella Nogueira,1950-08-01,PRIME,7924,,True,2017-05-31
C9EC50AB-F57,80623914506,Ana Júlia Fogaça,1980-03-13,VAREJO,2519,,False,2018-11-09
13AC4D38-051,72645038956,Antonella Sousa,1973-09-24,VAREJO,8527,,False,2015-11-19
9D709769-FA5,94021863796,Sra. Marina Monteiro,1999-07-12,PRIVATE,6925,46822.14,True,2015-07-07
C765728D-5F2,35210798488,Bento Viana,1970-06-12,PRIVATE,2307,68642.44,True,2019-04-06
EEA83E73-983,16948702350,Maria Clara Sousa,1974-12-09,PJ_PEQUENO,6977,14268.35,False,2017-05-08
025CF5F2-09D,52687341991,Isabelly Barros,1973-12-14,VAREJO,3803,,True,2016-10-31
1B6E2455-D35,37984512655,Enzo Camargo,1991-06-22,PJ_PEQUENO,5422,79177.58,True,2022-09-05
49216251-87E,16238074507,Eloá Alves,1979-02-04,VAREJO,4752,66011.5,False,2019-07-02
A8097D86-5EF,25169370407,Ryan Novaes,1974-01-08,VAREJO,4456,73181.19,False,2017-05-20
6CDA6062-172,07293614896,Maria Eduarda Brito,1994-10-15,PJ_PEQUENO,8517,12715.42,True,2017-10-07
3F520D89-F16,05492863142,Dante da Mota,2000-05-12,PJ_MEDIO,AGENC-???,60140.58,False,2021-07-18
DD2D8963-D7B,67195302407,Juan Lima,1985-10-31,PRIVATE,4593,79790.07,True,2020-09-18
ADD79F07-489,09548271630,Larissa Moraes,1994-04-11,VAREJO,1771,69096.58,True,2022-01-14
E77F3142-134,47165382909,Giovanna Vieira,1964-05-09,PJ_PEQUENO,2040,31704.23,False,2020-12-07
A2A3A921-AF1,42038976538,Sra. Manuela Rodrigues,1972-07-22,PJ_MEDIO,1188,54902.25,True,2022-08-24
9BFCAD91-7E3,86735419057,Dr. Luan Novaes,1998-03-05,PRIVATE,6573,10256.85,False,2016-10-09
2C78AA82-972,13870694203,Ana Lívia Lima,1990-09-15,VAREJO,5315,,True,2020-09-10
21043012-9E8,31480529605,Valentina Borges,1959-07-19,PRIVATE,9317,49304.16,True,2019-03-12
A1DA6E29-82C,25968134089,Cecilia Rodrigues,1964-06-29,PJ_MEDIO,9689,73601.74,False,2020-06-24
52851123-A74,38095127612,Vicente da Paz,1951-10-01,VAREJO,6947,70479.67,False,2017-09-07
9F9C772D-136,26741398031,Sr. Gustavo Henrique Peixoto,1955-03-14,PRIME,2290,8223.8,False,2024-02-25
35086199-94C,85602379177,Alexia Aragão,1956-03-17,PJ_MEDIO,3060,11578.73,False,2021-03-01
24029FF4-8E7,21439567034,Rebeca Barros,1964-10-24,PRIVATE,9645,69985.99,False,2017-05-17
D9DA3C17-065,73524680135,Ravi Melo,1998-05-20,PRIME,6107,32820.9,False,2019-11-30
F46A071B-66A,63748502974,Valentim Nogueira,1996-06-07,PJ_PEQUENO,2982,,True,2018-10-16
7FBB5C7D-AD8,02461597820,Gustavo Azevedo,1951-11-21,PJ_MEDIO,4770,47692.55,True,2015-10-18
148F3E96-F1C,75836402108,Bryan Albuquerque,1955-04-14,PRIME,2104,,False,2015-10-18
3546D87F-992,65710394270,Dra. Yasmin Cirino,1996-02-16,PRIME,5562,,True,2021-01-17
E9BB0CDA-96B,72638514900,Thales Pacheco,1961-11-14,PJ_MEDIO,8744,20575.28,False,2024-01-21
