cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,cd_agencia,vl_renda_mensal,fl_ativo,dt_cadastro,cd_gestor_relacionamento
B9051391-3D6,83167402571,Bella Novaes,1950-08-29,PJ_MEDIO,5610,,False,2020-09-23,DD65094B
0F8DC42A-25D,19382745637,Ryan Sousa,1984-11-05,PRIME,4302,,False,2018-10-02,
ACCEA82D-41B,80761945202,Srta. Emilly Pires,1967-07-26,PRIVATE,5265,,False,2020-01-24,277E1D21
BD911313-2AE,39724801640,Srta. Cecilia Novais,1952-08-02,PJ_PEQUENO,9385,61946.31,True,2017-01-27,
BF442931-DE3,30578629429,Daniela da Paz,1960-02-10,VAREJO,7348,64663.91,True,2017-03-30,
580E32F6-0D2,62789345074,Sophia Pimenta,1976-10-15,PRIME,5970,29833.66,True,2022-04-07,
721FF9AF-F4D,15896037295,Emanuella Santos,1970-08-14,PJ_MEDIO,5134,18519.28,True,2018-06-23,D2980DA6
D7D1106B-FD0,63719852059,Benício Pastor,1951-02-10,PRIME,3964,69038.1,True,2020-08-08,
FE644003-AEF,94683520729,Dom Aparecida,1984-11-10,PRIVATE,8501,78762.01,True,2020-07-06,
ED54B1F5-7A3,02549736800,Dr. Caio Abreu,1993-01-29,PJ_MEDIO,5675,63907.75,True,2015-11-15,636C8A47
EEDCF728-FC1,29376081404,Srta. Ana Sophia Nascimento,1959-08-16,VAREJO,1511,50113.22,True,2018-01-28,F67C3B29
5FBA8E9F-F70,70826431526,Luigi Rios,1950-01-01,PRIVATE,8291,31441.54,True,2016-02-03,7D70E5FD
76B25783-839,07124983622,Dr. Gustavo Henrique Rios,1954-10-21,PRIVATE,4527,52193.11,False,2023-04-27,
0C9B366A-276,18296543737,Luiz Gustavo Fernandes,1983-06-13,VAREJO,5587,34272.73,True,2018-05-03,
2842385F-B40,52461893764,Julia Guerra,1953-02-20,VAREJO,5948,12634.29,False,2023-12-24,
650405CC-B5A,47823501635,Dr. Juan Oliveira,1968-05-12,VAREJO,1497,,False,2016-12-16,19737A6F
34D64BD6-272,30685419215,Hellena Câmara,1951-04-16,VAREJO,2410,58397.51,False,2021-07-02,
D354533C-49F,62058193768,Júlia Viana,2000-01-05,PRIVATE,5424,3270.88,False,2015-09-17,
E12DEF15-767,12804763544,Maria Luiza Pimenta,1963-10-03,PRIME,2067,32706.81,False,2015-05-03,78577212
4572932B-346,27184509676,Gustavo Duarte,1953-05-02,PJ_PEQUENO,8085,66690.42,False,2016-12-17,B84362E5
9C8D427B-60F,61259387003,Maria Isis Lopes,1951-03-11,PJ_MEDIO,1721,53043.89,False,2022-12-17,
7639FA4E-AC0,84270531690,Heitor Cirino,1975-04-06,PJ_PEQUENO,4321,64452.37,True,2022-07-12,BA713F44
6EF3F89B-758,49865730120,Anthony Dias,1974-05-26,PRIME,4847,55639.5,True,2022-04-17,
912676CF-EE1,42179306580,Eduardo Cirino,1953-12-16,PJ_MEDIO,8132,45377.14,False,2023-11-18,E2C401B1
1AE6B0EE-82D,07526189386,Camila Nunes,1970-10-09,VAREJO,5694,30076.73,False,2020-02-12,
C295C13B-ADE,76490325152,Dra. Zoe Costa,1992-05-22,PJ_MEDIO,3685,30801.5,False,2023-02-22,
