cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,vl_renda_mensal,fl_ativo,dt_cadastro
FB29D9D1-7FC,83512794041,Bruno Melo,1988-09-12,VAREJO,64381.49,True,2017-06-09
7C474E75-BF9,91760548375,Maria Pinto,1961-05-27,PJ_PEQUENO,,False,2020-06-13
68BD9F0B-565,79513640299,Caleb Macedo,1953-01-07,PJ_MEDIO,,False,2015-12-06
38C3272D-0F1,23086549700,Sophie da Mata,1979-04-13,PRIME,32186.28,False,2024-04-19
B270D701-2B8,95416038233,Luana Costela,1999-06-29,PRIVATE,25280.08,True,2016-08-15
06419DC9-E91,40156972352,Emanuelly Moura,1964-05-12,PRIVATE,,False,2017-02-22
02AE85A3-1CE,03612945815,Ágatha Fernandes,1956-04-29,PRIME,19924.38,True,2018-05-14
7313F912-C94,50697823474,Ana Julia Alves,1982-12-04,VAREJO,75527.22,True,2020-12-23
64083B36-1BF,45379162061,Maria Liz Rocha,1952-10-31,PRIME,54804.64,True,2017-12-15
48DF6494-21D,10362978450,Bruna Vargas,1960-11-26,PJ_MEDIO,54058.59,False,2015-01-27
BD88403A-8B9,80579134601,Emanuelly Nascimento,1984-05-19,VAREJO,22200.0,True,2020-08-15
0A7F69AC-04A,35416087226,Cecília Martins,2000-12-11,VAREJO,65444.74,True,2023-03-24
B39D694E-B48,64572319006,Bárbara Pereira,1978-04-16,PJ_PEQUENO,71238.68,False,2019-08-04
80092369-8E7,49138605775,Samuel Nogueira,2000-04-04,PJ_MEDIO,24223.08,True,2017-06-21
3AB0EEB0-9B2,54138026762,Helena Machado,1973-06-28,VAREJO,8819.06,True,2020-10-13
11229B57-400,13758240662,João Pedro Costa,1959-04-20,VAREJO,25995.96,False,2015-12-18
FF00EA4D-812,58206973400,Srta. Bianca Montenegro,1970-10-07,PRIME,51440.2,False,2021-08-02
BE0D24A3-0F3,32801769487,Théo Rodrigues,1950-03-14,PRIVATE,36859.22,False,2019-08-24
704FC0FA-B09,94261073552,Pedro Henrique Nascimento,1950-02-14,PJ_MEDIO,63702.21,False,2020-01-31
EB49A824-71E,89065713212,José Miguel Novais,1958-12-24,PRIVATE,37513.55,True,2015-10-11
34E29AE9-7F9,81630254924,Mirella Pinto,1951-12-15,PRIME,22120.08,False,2023-07-22
C4B507CD-095,84396205783,Vitor Gabriel Montenegro,1984-12-18,PRIVATE,38693.4,True,2020-02-18
4CEAA188-688,04128736996,Dr. Antônio Araújo,1979-06-09,PJ_PEQUENO,63558.92,False,2023-02-20
C4983F29-8B8,41532706871,Maria Fernanda Araújo,1974-01-07,VAREJO,18361.37,False,2017-12-23
2B737A39-E29,61798032422,Davi Luiz Sampaio,1973-03-04,PJ_MEDIO,36807.54,True,2017-10-08
95E39193-1FD,93128045615,Isabel Ribeiro,1959-07-24,PRIME,60201.83,False,2015-12-31
34C7739B-084,85602143998,Benicio Costa,1966-09-03,PJ_PEQUENO,7058.46,False,2015-03-11
98074612-870,75628409383,Rafaela Lopes,1970-02-09,PRIME,61087.59,False,2018-12-07
4BBF73C8-819,50768921449,Laís Borges,1970-12-21,VAREJO,28793.11,False,2017-09-15
CF6CC6A5-671,25041936706,Sabrina Castro,1957-11-10,VAREJO,3600.83,False,2022-03-22
86829721-375,32570146862,Rebeca Monteiro,1979-10-24,PRIVATE,63264.23,True,2018-08-12
01BD0D1F-166,70512986401,Ian Guerra,1970-04-06,PJ_PEQUENO,31997.05,False,2015-03-29
49BEB50F-D9E,28694750392,Luna Novaes,1955-07-07,PRIVATE,24311.56,False,2020-03-15
29D15A76-5D2,30614295734,Fernanda Brito,1976-12-10,PJ_MEDIO,62329.45,False,2020-09-14
FDCF6424-3A4,07365812435,Maria Luiza Fogaça,1972-08-21,PJ_MEDIO,38182.82,True,2019-07-19
BBBDFAC6-EA1,06132895442,Ana Cecília Gomes,1959-07-23,VAREJO,73826.22,False,2023-12-13
38644BD4-BFF,56287901330,Giovanna Aparecida,1992-01-13,VAREJO,36394.49,True,2022-05-02
12A42792-1D2,54201873960,Cecilia Aragão,1993-02-08,PRIVATE,48248.19,True,2024-02-24
301FB23E-131,09164735206,Liam Pastor,1953-04-26,PJ_PEQUENO,9606.18,True,2019-12-17
8048D887-BE8,04129538624,Olivia Cunha,1959-07-26,PJ_MEDIO,,True,2018-02-12
1ED36142-50D,30891472622,Nathan Pinto,1952-02-14,PRIME,22541.89,False,2015-12-19
381BD897-E3A,94072618594,Daniela Sales,1981-12-31,PRIVATE,,True,2017-08-09
8AF03326-A03,31570948666,Bryan Nascimento,1970-12-06,PJ_MEDIO,53591.96,False,2022-11-12
8AA24FDA-4B7,63089514710,Fernando da Rocha,1980-09-21,PRIVATE,19461.73,True,2020-05-20
D69C73A3-0B5,90321658442,Sr. Miguel Montenegro,1952-05-18,PRIME,29775.16,True,2023-06-29
099EFC6D-87C,15480723626,Srta. Gabriela Viana,1954-12-21,PRIVATE,31701.05,False,2018-11-26
44C890F7-CFD,17683524964,Davi Luiz Cunha,1969-03-28,PJ_PEQUENO,76643.72,False,2022-04-06
13FAA038-B74,29064871396,Lunna Moraes,1990-12-11,PRIME,79564.29,True,2021-05-15
A32A8667-172,98736521086,Mariana Montenegro,1977-03-23,PJ_PEQUENO,22934.13,False,2023-01-18
25195181-DAA,02137958414,Srta. Sarah Casa Grande,1963-08-29,PRIME,67895.1,False,2018-09-11
4B9BEB69-253,68591472020,Sra. Melina Teixeira,1971-11-09,PJ_MEDIO,,False,2021-03-16
9F775255-686,64087935256,Bárbara Souza,1990-08-30,VAREJO,56551.69,True,2018-01-25
EF8D0C5A-D33,60853279195,Maria Cecília Farias,1968-01-05,VAREJO,,False,2019-12-09
0B3DB623-5E1,63281704913,Ana Vitória Azevedo,1952-12-29,PJ_PEQUENO,30175.37,True,2020-05-10
1E787C95-468,95483610784,Dra. Lívia Teixeira,1970-07-18,PRIVATE,49190.71,True,2023-01-16
B05AAA01-C6B,40386259151,Maria Fernanda Viana,1960-11-23,PJ_PEQUENO,28111.59,False,2022-10-27
D180542F-C64,96514832709,Camila Montenegro,1999-12-31,PJ_MEDIO,74855.33,False,2023-05-31
6C4CA498-990,53708416910,Dr. João da Paz,1973-08-05,PJ_PEQUENO,32950.56,False,2015-03-05
01FAAAFF-F2E,71802653902,Theo Rezende,1959-02-13,PRIVATE,29808.61,True,2017-08-03
0F31DF2F-B68,10498735648,Breno Castro,1971-04-18,PRIVATE,38821.73,True,2023-02-14
CB3AB37A-A61,54739261006,Joaquim Ribeiro,1998-07-15,PJ_PEQUENO,,True,2019-01-23
FD125A1F-BED,31748952609,Dr. Theo Andrade,1978-11-26,PRIME,27347.47,True,2019-05-15
4FA51B1E-F0D,41829706594,Lucas Gabriel Machado,1954-10-23,VAREJO,53844.52,True,2022-06-25
82F483D0-36A,28107349687,Alícia Macedo,1954-12-20,VAREJO,34794.39,False,2015-10-16
8CFB0050-2C3,76451302880,Agatha Oliveira,1991-03-29,PRIME,63340.83,True,2016-07-24
9804B92F-212,15923670461,Lunna Fonseca,1957-11-14,PRIME,5179.98,True,2022-05-07
3D08B944-7F5,94132780597,Sr. Luiz Henrique Vargas,1967-05-03,PJ_MEDIO,,False,2024-05-01
3CF6E09B-AF7,48659137264,Gabrielly Souza,1954-08-06,PJ_MEDIO,39028.6,True,2022-07-23
552CB74A-0AC,14863527900,Laura Pimenta,1969-07-25,VAREJO,22200.14,False,2020-12-07
778CEAC8-859,15946823051,Srta. Heloísa Vieira,1961-03-15,PJ_PEQUENO,75971.97,True,2022-01-16
EF0D9DE8-3F7,83945271673,Agatha Alves,1987-01-10,PRIVATE,58384.19,True,2021-10-17
0F52282B-7E0,62345871008,Vitória da Cunha,1962-06-05,PRIME,,True,2016-07-26
4A1C852E-2E9,53910847250,Ana Nogueira,1951-11-19,PJ_PEQUENO,,False,2024-03-20
A84B96F7-3EB,75340698157,Brayan Viana,1975-10-15,VAREJO,31675.91,True,2024-04-16
5A249D74-06E,30745921680,Bento Sales,1952-08-10,PRIME,,True,2022-09-28
57D7C812-F88,36405871975,Sra. Milena da Rocha,1989-02-23,PJ_MEDIO,34749.5,True,2018-07-21
AACBCF93-1A2,20618573453,Ana Cecília Farias,1955-12-07,PJ_PEQUENO,35611.82,True,2024-05-19
49E76355-02F,16057839439,Maria Helena da Cruz,1971-11-16,PRIME,62851.86,True,2022-12-30
88C4F044-B80,24517630862,Emanuelly Almeida,1970-06-19,PRIME,,True,2022-02-14
F60BAE95-D04,95081743666,Marcela da Mata,1986-02-04,PJ_PEQUENO,,True,2020-03-03
640DEACE-7E5,62891043570,João Guilherme Fernandes,1973-04-30,PJ_MEDIO,67884.28,True,2017-02-02
D57BDC2A-8D4,21697804594,Maya Ribeiro,1978-01-31,PRIME,61286.41,False,2018-05-19
6E36A6E9-4B5,89706153268,Luiza Borges,1996-09-03,PRIVATE,64412.63,False,2023-08-07
6AAB27C0-E81,61270354817,Lucca Pereira,1998-08-21,PJ_PEQUENO,10367.8,True,2015-11-01
195F7D2E-37D,14538629006,Olívia Borges,1977-09-24,PRIME,5137.08,False,2015-04-10
A303643A-7C3,18392075404,Dr. Eduardo Rocha,1996-08-17,VAREJO,45611.4,False,2015-12-15
5A5175CD-FC0,75940132804,Melissa Nunes,1979-12-17,PRIVATE,48115.83,True,2023-08-24
171D27CE-6D4,16534920743,Thales Andrade,1984-11-13,PRIME,43155.76,True,2016-12-04
5D3AF613-95E,28603975159,Dr. Léo Silva,1981-12-20,PJ_MEDIO,55515.49,True,2022-12-31
A8A52C18-B31,82734615991,Sr. Marcelo Marques,1973-11-26,PJ_PEQUENO,38235.02,True,2019-08-17
60B9C017-063,43780216507,Dr. João Guilherme Sales,1966-01-08,PJ_PEQUENO,58400.4,True,2016-08-20
53F56611-62F,29634871003,Luiz Felipe Barros,1967-01-26,PRIVATE,24811.1,True,2016-12-18
9CD82EB0-C22,35241968709,Maria Flor Mendonça,1978-08-30,PRIVATE,38269.96,True,2023-02-03
32700FF6-11A,67529431846,Ana Luiza Viana,1990-11-08,PJ_MEDIO,48729.08,False,2020-06-25
60E5FCD4-623,27659410849,Ian Sampaio,1978-05-03,PRIVATE,45799.52,True,2017-11-09
BECF00D3-6E0,25143089689,Bernardo Viana,1990-07-02,PRIVATE,7269.0,False,2022-07-29
56689984-544,76419802520,Noah Vargas,1969-06-06,PJ_PEQUENO,,False,2016-08-30
B27E7C59-BD0,06915748202,Emanuel Fonseca,1981-11-11,PJ_PEQUENO,69233.35,True,2016-02-28
9E12886B-E3D,43756920810,Sra. Maria Fernanda Gonçalves,1964-05-20,PRIVATE,58827.24,True,2017-04-20
2BB92AEF-23B,94087365247,João Guilherme Silva,1968-08-29,VAREJO,,False,2019-06-18
506A6F9B-ACF,76402189340,Luiz Henrique Pires,1972-05-12,VAREJO,56404.89,True,2022-01-17
1ED8DF93-BD8,47328061553,Sra. Lara Barros,1972-09-03,PJ_MEDIO,41635.19,True,2024-05-27
3175F028-C63,75248019630,Luiz Miguel Souza,1965-05-14,VAREJO,71206.12,True,2015-12-07
C6CA13AF-12C,64781952011,Lorena Cardoso,1965-05-30,PJ_PEQUENO,,False,2023-07-21
511FC949-26D,08456937274,Marcela da Costa,1976-01-27,PJ_MEDIO,13223.65,True,2020-04-17
7347BD25-E40,40725631880,Pedro Lucas da Mata,1961-12-31,VAREJO,49948.84,True,2021-03-04
CB53BA75-D5E,01579823602,Allana Carvalho,1976-06-17,PRIME,38391.88,True,2019-11-25
8BE195DF-F7E,18475926355,Dr. Dom Moura,1964-05-15,PJ_PEQUENO,61319.55,True,2022-01-21
44585AEA-840,90735186286,Juliana Marques,1985-06-27,PRIVATE,,False,2018-12-18
F715A6C6-615,95108376448,Bruna da Mata,1979-10-15,VAREJO,2938.15,False,2015-11-27
119B52C7-257,51076428967,Dr. Liam Montenegro,1952-11-26,PJ_MEDIO,50047.81,False,2022-12-18
8F757D2C-831,21806435780,Pedro Sousa,1961-07-25,PRIME,70353.41,True,2022-09-27
283A260B-78B,50694813206,Vitor Campos,1954-04-11,VAREJO,34339.81,False,2016-07-05
F3E64130-45D,07418593600,Luiz Henrique Souza,1961-07-29,PRIME,4505.48,True,2015-01-12
B7C1F8C8-46C,57412836080,Mateus Pastor,1967-01-31,PRIVATE,70356.69,False,2017-03-19
D35A3FAB-8BE,85472061326,Sr. Enzo Gabriel da Mota,1990-12-28,PRIVATE,46583.78,False,2023-08-10
