cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,cd_agencia,vl_renda_mensal,fl_ativo,dt_cadastro
A3322A27-4DF,25940781314,Agatha Dias,1959-12-28,VAREJO,5506,20724.01,True,2023-04-05
D6E5E408-886,96152378095,Luara Sousa,1959-03-13,PJ_MEDIO,2424,47853.66,True,2015-05-03
2CB784B9-0FB,18602573995,Dra. Isis Martins,1958-05-29,PRIME,4811,41170.39,True,2021-04-17
C83334CA-EDC,75360189240,Aylla Casa Grande,1967-11-03,PJ_MEDIO,7873,18804.59,False,2024-01-29
F34F26C9-E2F,29735814005,Luiz Miguel Moura,1950-08-01,PRIME,7924,,True,2017-05-31
2836A771-F25,75038421644,Aylla Barros,1980-03-13,VAREJO,2519,,False,2018-11-09
621082BB-E7D,07153684271,Dr. Emanuel Caldeira,1973-09-24,VAREJO,8527,,False,2015-11-19
A666F9FF-608,28974160501,João Miguel Machado,1999-07-12,PRIVATE,6925,46822.14,True,2015-07-07
90B662C8-B86,40591673207,Luiz Fernando Correia,1970-06-12,PRIVATE,2307,68642.44,True,2019-04-06
8AFF1C66-E34,91054783241,Ísis Albuquerque,1974-12-09,PJ_PEQUENO,6977,14268.35,False,2017-05-08
76DF7F05-FB1,82561409333,Brayan da Paz,1973-12-14,VAREJO,3803,,True,2016-10-31
E5E7FF4B-485,36087519203,Vitória Marques,1991-06-22,PJ_PEQUENO,5422,79177.58,True,2022-09-05
651E7D7F-39C,93864105242,Bella Martins,1979-02-04,VAREJO,4752,66011.5,False,2019-07-02
B47BD2F7-E09,84257963000,Brenda Duarte,1974-01-08,VAREJO,4456,73181.19,False,2017-05-20
D2008D06-AF6,13459208651,Natália Pinto,1994-10-15,PJ_PEQUENO,8517,12715.42,True,2017-10-07
5E3A75B5-B2A,75391486246,Erick Leão,2000-05-12,PJ_MEDIO,AGENC-???,60140.58,False,2021-07-18
5802AB3E-3B9,13260594752,Leonardo Fernandes,1985-10-31,PRIVATE,4593,79790.07,True,2020-09-18
A3B37B0D-9CE,76801934520,Lucas Gabriel Cirino,1994-04-11,VAREJO,1771,69096.58,True,2022-01-14
20E5E8BE-214,53697214080,Daniel Mendonça,1964-05-09,PJ_PEQUENO,2040,31704.23,False,2020-12-07
A7593256-F0D,05896437200,Jade Caldeira,1972-07-22,PJ_MEDIO,1188,54902.25,True,2022-08-24
6CC894D3-092,90236475134,Ayla Costa,1998-03-05,PRIVATE,6573,10256.85,False,2016-10-09
CD366B61-C58,47689350283,Pedro Lopes,1990-09-15,VAREJO,5315,,True,2020-09-10
4A5BD474-64E,29530417888,Clara Cirino,1959-07-19,PRIVATE,9317,49304.16,True,2019-03-12
DDE5DB08-746,59324067125,Vicente Dias,1964-06-29,PJ_MEDIO,9689,73601.74,False,2020-06-24
2AAFBDCF-EB8,79856314291,Valentina Rocha,1951-10-01,VAREJO,6947,70479.67,False,2017-09-07
