cd_cliente,nr_cpf_cnpj,nm_cliente,dt_nascimento,cd_segmento,vl_renda_mensal,fl_ativo,dt_cadastro
ADF20BE8-35A,75962810368,Pedro Lucas Azevedo,1950-10-27,PJ_MEDIO,12547.65,False,2015-11-12
5FF92693-7F0,13965802470,Luísa Marques,1983-07-27,PRIME,77519.33,True,2023-05-12
696B82F2-B87,34562709170,Juan Aragão,1990-10-31,PJ_PEQUENO,66057.85,True,2020-10-05
E61CAF05-B1D,76204935143,Mirella Pastor,1991-11-11,VAREJO,53523.65,False,2018-07-06
D6CD164B-4D3,06159274830,Matteo Siqueira,1993-09-03,PJ_MEDIO,41799.95,False,2018-04-02
8BCD528F-305,21790685303,Sr. Kevin Costela,1960-07-26,PRIME,19772.34,True,2017-02-13
CF3ADC8B-5AF,78352906186,Gustavo Henrique Azevedo,1973-05-03,PJ_PEQUENO,73865.8,False,2020-09-27
B66493C6-E3D,87364091203,Alexandre Rezende,1970-04-12,PJ_PEQUENO,71967.43,True,2018-02-21
C4160B81-924,48751390205,Igor Caldeira,1993-12-19,VAREJO,67297.17,True,2015-07-14
4AB8F679-287,35967180400,Maria Luiza Araújo,1970-02-23,PJ_MEDIO,,True,2017-06-22
C7B1AD14-861,86710425371,Dr. Luan Costela,1957-07-01,VAREJO,47754.73,False,2021-10-21
B26EEAAA-3AC,62301978559,Sra. Ana Liz Fernandes,1991-12-24,PRIVATE,28154.73,False,2024-03-15
B2800834-335,45316920716,Dra. Olivia Azevedo,1988-05-29,PJ_MEDIO,74074.53,True,2022-05-06
31DDECE5-C05,85160329498,Dr. João Lucas Machado,1977-04-01,PRIME,15321.34,False,2019-11-20
9BD67270-E5C,23578694100,Henry Gabriel Ramos,1986-02-03,PRIME,41635.01,True,2015-12-30
5365C3EF-438,86795132021,Luiz Gustavo Silveira,1969-12-25,VAREJO,34555.75,True,2016-08-04
0E21279B-EA3,58276943128,Henrique da Luz,1968-04-10,PJ_PEQUENO,33693.37,False,2024-04-27
